MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,MSO,SOURCE CODE,POS1
201031937,MAHMUD BIKE MBL          ,02,9/27/2018,A29,                  ,001
201031945,R CAFFEE BAR MBL         ,02,9/27/2018,A09,                  ,001
201031952,CV ANEUK GRAFIKA MBL     ,02,9/27/2018,A09,                  ,001
201031960,AZIFA DIGITAL PRINTING MB,02,9/27/2018,A09,                  ,001
201031978,TK AMIGOS SHOES MBL      ,02,9/27/2018,A14,                  ,001
201031994,HAWA COSMETIK MBL        ,02,9/27/2018,A27,                  ,001
201032026,ARDILIS FASHION MBL      ,02,9/27/2018,A09,                  ,001
201032034,BARRERA & SONS MBL       ,02,9/27/2018,A09,                  ,001
201032042,BERANDA STREET HOUSE MBL ,02,9/27/2018,A09,                  ,001
201032059,D'BEST CLUB MBL          ,02,9/27/2018,A09,                  ,001
201032158,NUSANTARA MOTOR MBL      ,02,9/27/2018,A09,                  ,001
201137015,KHUSHI DA KAAR COFFEE SHO,02,9/27/2018,A24,                  ,001
201162898,INFINITY MODA MBL        ,02,9/25/2018,A24,                  ,001
201162989,TARI TEX MBL             ,02,9/27/2018,A31,                  ,001
201163342,SINAR ELECTRONIC MBL     ,02,9/27/2018,A31,                  ,001
201163961,SRIKANDI FURNITURE MBL   ,02,9/25/2018,A24,                  ,001
201164167,MAX AUTOSHOP MBL         ,02,9/24/2018,A13,                  ,001
201164845,PUBLIC PONSEL MBL        ,02,9/24/2018,A29,                  ,001
201165040,IKA POCAI MBL            ,02,9/27/2018,A31,                  ,001
201165313,TK HOKKI PONSEL MBL      ,02,9/26/2018,A14,                  ,001
201165933,RUMAH MAKAN ACEH SPESIFIK,02,9/26/2018,A09,                  ,001
201166055,PT.HASAVA ABADI PERKASA M,02,9/26/2018,A09,                  ,001
201166113,RM. SALERO BASAMO MBL    ,02,9/24/2018,A29,                  ,001
201166188,KENCANA FRAME MBL        ,02,9/27/2018,A24,                  ,001
201166402,MICHAEL CAR AUDIO MBL    ,01,9/24/2018,A11,                  ,001
201166865,MOMMA HOUSEWARE MBL      ,02,9/25/2018,A09,                  ,001
201166956,RENI SALON MBL           ,02,9/25/2018,A11,                  ,001
201166998,TOKO OLI / BENGKEL PALEMB,02,9/27/2018,A31,                  ,001
201167012,CARI KAWAN MBL           ,02,9/24/2018,A13,                  ,001
201167152,MABESCO MBL              ,02,9/27/2018,A11,                  ,001
201167335,UD. MONGONSIDI MBL       ,02,9/27/2018,A29,                  ,001
201167343,VENIA PERABOT MBL        ,02,9/24/2018,A29,                  ,001
201167350,DE' PAKAR RESTO & BAR MBL,02,9/24/2018,A29,                  ,001
201167368,KEY HOLE SURF CAMP MBL   ,02,9/24/2018,A29,                  ,001
201167400,SAVANNA AUTOMOTIVE DETALI,02,9/25/2018,A27,                  ,001
201167442,XELOGRAPH MBL            ,02,9/24/2018,A13,                  ,001
201168028,UD. PRASASTI 1 MBL       ,02,9/25/2018,A24,                  ,001
201168051,RS.UMUM RASYIDA SIANTAR M,02,9/27/2018,A27,                  ,002
201168085,ZAQY PASTRIES & CAFE MBL ,02,9/25/2018,A27,                  ,001
201168309,KONTCO COFFEE MBL        ,02,9/27/2018,A31,                  ,001
201168366,MEDDS MBL                ,02,9/24/2018,A31,                  ,001
201168465,KEDAI KR 59 MBL          ,02,9/24/2018,A31,                  ,001
201168481,CS AUTO LIFT HIDROLIK MBL,02,9/24/2018,A20,                  ,002
201168564,ARIFAH BUTIQ MBL         ,01,9/27/2018,A11,                  ,001
201168580,CAFE KOPI GUNUNG MBL     ,02,9/24/2018,A11,                  ,001
201168614,SUNAR SPORTS MBL         ,02,9/25/2018,A27,                  ,001
201168622,UD.MAKMUR JAYA MBL       ,02,9/25/2018,A27,                  ,001
201168630,ANDA MDN MBL             ,02,9/24/2018,A14,                  ,002
201168663,ADI TAS MBL              ,01,9/25/2018,A27,                  ,001
201168697,TIGA SAUDARA BARU MBL    ,02,9/24/2018,A29,                  ,001
201168705,TK MAS HADI MBL          ,02,9/27/2018,A29,                  ,001
201168812,SUNWAY MBL               ,02,9/26/2018,A26,                  ,001
201168820,DRG. ANITA MAISURI MBL   ,02,9/27/2018,A31,                  ,001
201168861,KONO KOPI GAYO MBL       ,02,9/26/2018,A14,                  ,001
201168895,B&B COLLECTION DENAI MBL ,02,9/25/2018,A24,                  ,001
201168903,PUTRI MUSLIM MBL         ,02,9/27/2018,A24,                  ,001
201168937,TK NAULY PONSEL MDN MBL  ,02,9/26/2018,A14,                  ,001
201169067,TK KING CELLULAR MBL     ,02,9/24/2018,A13,                  ,001
201169075,EVES CANTEEN MBL         ,02,9/24/2018,A13,                  ,001
201169083,TK PONSEL PIONEER MBL    ,02,9/24/2018,A13,                  ,001
201169091,COFFEE MORNING MBL       ,02,9/24/2018,A29,                  ,001
201169109,DILLY'S MBL              ,02,9/24/2018,A29,                  ,001
201169117,NUR CAFE & COFFEE MBL    ,02,9/27/2018,A29,                  ,001
201169125,X/O COFFEE MBL           ,02,9/24/2018,A29,                  ,001
201169133,MAHDA SALON MBL          ,02,9/25/2018,A27,                  ,001
201169141,INTERIOR INDAH GROSIR & E,02,9/25/2018,A27,                  ,001
201169158,MC BEAUTY & SALON MBL    ,02,9/25/2018,A27,                  ,001
201169166,KYN BARBERSHOP MBL       ,02,9/27/2018,A31,                  ,001
201169182,ULIH LATIH KJH MBL       ,02,9/24/2018,A29,                  ,001
201169190,5 KOPI MBL               ,02,9/24/2018,A29,                  ,001
201169208,D'COZY MBL               ,02,9/25/2018,A27,                  ,002
201169216,HEMARI PONSEL MBL        ,02,9/26/2018,A27,                  ,001
