OPEN_DATE,MID,MERCHAN_DBA_NAME,MSO,SOURCE_CODE,POS1,WILAYAH,CHANNEL,TYPE_MID
8/14/2018,201030913,MID INSTANT WMD 008      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030921,MID INSTANT WMD 009      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030939,MID INSTANT WMD 010      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030947,MID INSTANT WMD 011      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030954,MID INSTANT WMD 012      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030962,MID INSTANT WMD 013      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030970,MID INSTANT WMD 014      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030988,MID INSTANT WMD 015      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201030996,MID INSTANT WMD 016      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031002,MID INSTANT WMD 017      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031010,MID INSTANT WMD 018      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031028,MID INSTANT WMD 019      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031036,MID INSTANT WMD 020      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031044,ERAFONE RS HUAWEI NOVA 3I,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031051,ERAFONE RS HUAWEI NOVA 3I,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031069,MID INSTANT WMD 023      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031077,MID INSTANT WMD 024      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031085,MID INSTANT WMD 025      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031093,MID INSTANT WMD 026      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031101,MID INSTANT WMD 027      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031119,MID INSTANT WMD 028      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031127,MID INSTANT WMD 029      ,   ,                  ,1,WMD,MBR,EDC
8/14/2018,201031135,MID INSTANT WMD 030      ,   ,                  ,1,WMD,MBR,EDC
