RowID,BatchID,OPEN_DATE,MID,MERCHAN_DBA_NAME,MSO,SOURCE_CODE,POS1,WILAYAH,CHANNEL,TYPE_MID,IS_UPDATE
1,999,2018-08-14,201030913,"MID INSTANT WMD 008      ","   ","                  ",1,WMD,NULL,EDC,0
2,999,2018-08-14,201030921,"MID INSTANT WMD 009      ","   ","                  ",1,WMD,NULL,EDC,0
3,999,2018-08-14,201030939,"MID INSTANT WMD 010      ","   ","                  ",1,WMD,NULL,EDC,0
4,999,2018-08-14,201030947,"MID INSTANT WMD 011      ","   ","                  ",1,WMD,NULL,EDC,0
5,999,2018-08-14,201030954,"MID INSTANT WMD 012      ","   ","                  ",1,WMD,NULL,EDC,0
6,999,2018-08-14,201030962,"MID INSTANT WMD 013      ","   ","                  ",1,WMD,NULL,EDC,0
7,999,2018-08-14,201030970,"MID INSTANT WMD 014      ","   ","                  ",1,WMD,NULL,EDC,0
8,999,2018-08-14,201030988,"MID INSTANT WMD 015      ","   ","                  ",1,WMD,NULL,EDC,0
9,999,2018-08-14,201030996,"MID INSTANT WMD 016      ","   ","                  ",1,WMD,NULL,EDC,0
10,999,2018-08-14,201031002,"MID INSTANT WMD 017      ","   ","                  ",1,WMD,NULL,EDC,0
11,999,2018-08-14,201031010,"MID INSTANT WMD 018      ","   ","                  ",1,WMD,NULL,EDC,0
12,999,2018-08-14,201031028,"MID INSTANT WMD 019      ","   ","                  ",1,WMD,NULL,EDC,0
13,999,2018-08-14,201031036,"MID INSTANT WMD 020      ","   ","                  ",1,WMD,NULL,EDC,0
14,999,2018-08-14,201031044,"ERAFONE RS HUAWEI NOVA 3I","   ","                  ",1,WMD,NULL,EDC,0
15,999,2018-08-14,201031051,"ERAFONE RS HUAWEI NOVA 3I","   ","                  ",1,WMD,NULL,EDC,0
16,999,2018-08-14,201031069,"MID INSTANT WMD 023      ","   ","                  ",1,WMD,NULL,EDC,0
17,999,2018-08-14,201031077,"MID INSTANT WMD 024      ","   ","                  ",1,WMD,NULL,EDC,0
18,999,2018-08-14,201031085,"MID INSTANT WMD 025      ","   ","                  ",1,WMD,NULL,EDC,0
19,999,2018-08-14,201031093,"MID INSTANT WMD 026      ","   ","                  ",1,WMD,NULL,EDC,0
20,999,2018-08-14,201031101,"MID INSTANT WMD 027      ","   ","                  ",1,WMD,NULL,EDC,0
21,999,2018-08-14,201031119,"MID INSTANT WMD 028      ","   ","                  ",1,WMD,NULL,EDC,0
22,999,2018-08-14,201031127,"MID INSTANT WMD 029      ","   ","                  ",1,WMD,NULL,EDC,0
23,999,2018-08-14,201031135,"MID INSTANT WMD 030      ","   ","                  ",1,WMD,NULL,EDC,0
24,999,2018-08-14,201031143,"MID INSTANT WMD 031      ","   ","                  ",1,WMD,NULL,EDC,0
25,999,2018-08-14,201031150,"MID INSTANT WMD 032      ","   ","                  ",1,WMD,NULL,EDC,0
26,999,2018-08-14,201031168,"MID INSTANT WMD 033      ","   ","                  ",1,WMD,NULL,EDC,0
27,999,2018-08-14,201031176,"MID INSTANT WMD 034      ","   ","                  ",1,WMD,NULL,EDC,0
28,999,2018-08-14,201031184,"MID INSTANT WMD 035      ","   ","                  ",1,WMD,NULL,EDC,0
29,999,2018-08-14,201031192,"MID INSTANT WMD 036      ","   ","                  ",1,WMD,NULL,EDC,0
30,999,2018-08-14,201031200,"MID INSTANT WMD 037      ","   ","                  ",1,WMD,NULL,EDC,0
31,999,2018-08-14,201031218,"MID INSTANT WMD 038      ","   ","                  ",1,WMD,NULL,EDC,0
32,999,2018-08-14,201031226,"MID INSTANT WMD 039      ","   ","                  ",1,WMD,NULL,EDC,0
33,999,2018-08-14,201031234,"MID INSTANT WMD 040      ","   ","                  ",1,WMD,NULL,EDC,0
34,999,2018-08-14,201031242,"MID INSTANT WMD 041      ","   ","                  ",1,WMD,NULL,EDC,0
35,999,2018-08-14,201031259,"MID INSTANT WMD 042      ","   ","                  ",1,WMD,NULL,EDC,0
36,999,2018-08-14,201031267,"MID INSTANT WMD 043      ","   ","                  ",1,WMD,NULL,EDC,0
37,999,2018-08-14,201031275,"MID INSTANT WMD 044      ","   ","                  ",1,WMD,NULL,EDC,0
38,999,2018-08-14,201031283,"MID INSTANT WMD 045      ","   ","                  ",1,WMD,NULL,EDC,0
39,999,2018-08-14,201031291,"MID INSTANT WMD 046      ","   ","                  ",1,WMD,NULL,EDC,0
40,999,2018-08-14,201031309,"MID INSTANT WMD 047      ","   ","                  ",1,WMD,NULL,EDC,0
41,999,2018-08-14,201031317,"MID INSTANT WMD 048      ","   ","                  ",1,WMD,NULL,EDC,0
42,999,2018-08-14,201031325,"MID INSTANT WMD 049      ","   ","                  ",1,WMD,NULL,EDC,0
43,999,2018-08-14,201031333,"MID INSTANT WMD 050      ","   ","                  ",1,WMD,NULL,EDC,0
44,999,2018-08-14,201031341,"MID INSTANT WMD 051      ","   ","                  ",1,WMD,NULL,EDC,0
45,999,2018-08-14,201031358,"MID INSTANT WMD 052      ","   ","                  ",1,WMD,NULL,EDC,0
46,999,2018-08-14,201031366,"MID INSTANT WMD 053      ","   ","                  ",1,WMD,NULL,EDC,0
47,999,2018-08-14,201031374,"MID INSTANT WMD 054      ","   ","                  ",1,WMD,NULL,EDC,0
48,999,2018-08-14,201031382,"MID INSTANT WMD 055      ","   ","                  ",1,WMD,NULL,EDC,0
49,999,2018-08-14,201031390,"MID INSTANT WMD 056      ","   ","                  ",1,WMD,NULL,EDC,0
50,999,2018-08-14,201031408,"MID INSTANT WMD 057      ","   ","                  ",1,WMD,NULL,EDC,0
51,999,2018-08-14,201031416,"MID INSTANT WMD 058      ","   ","                  ",1,WMD,NULL,EDC,0
52,999,2018-08-14,201031424,"MID INSTANT WMD 059      ","   ","                  ",1,WMD,NULL,EDC,0
53,999,2018-08-14,201031432,"MID INSTANT WMD 060      ","   ","                  ",1,WMD,NULL,EDC,0
54,999,2018-08-14,201031440,"MID INSTANT WMD 061      ","   ","                  ",1,WMD,NULL,EDC,0
55,999,2018-08-14,201031457,"MID INSTANT WMD 062      ","   ","                  ",1,WMD,NULL,EDC,0
56,999,2018-08-14,201031465,"MID INSTANT WMD 063      ","   ","                  ",1,WMD,NULL,EDC,0
57,999,2018-08-14,201031473,"MID INSTANT WMD 064      ","   ","                  ",1,WMD,NULL,EDC,0
58,999,2018-08-14,201031481,"MID INSTANT WMD 065      ","   ","                  ",1,WMD,NULL,EDC,0
59,999,2018-08-14,201031499,"MID INSTANT WMD 066      ","   ","                  ",1,WMD,NULL,EDC,0
60,999,2018-08-14,201031507,"MID INSTANT WMD 067      ","   ","                  ",1,WMD,NULL,EDC,0
61,999,2018-08-14,201031515,"MID INSTANT WMD 068      ","   ","                  ",1,WMD,NULL,EDC,0
62,999,2018-08-14,201031523,"MID INSTANT WMD 069      ","   ","                  ",1,WMD,NULL,EDC,0
