ID,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
1,1,PEN.TUNAI ATM JKT KOTA   ,1,181000,JAKARTA      ,   ,                  ,0
2,2,PEN.TUNAI ATM BANDUNG    ,1,181000,BANDUNG      ,   ,                  ,0
3,3,PEN.TUNAI ATM JAMBI      ,1,181000,JAMBI        ,   ,                  ,0
4,4,PEN.TUNAI ATM YOGYAKARTA ,1,181000,YOGYAKARTA   ,   ,                  ,0
5,5,PEN.TUNAI ATM BANDA ACEH ,1,181000,BANDA ACEH   ,   ,                  ,0
6,6,PEN.TUNAI ATM MEDAN      ,1,181000,MEDAN        ,   ,                  ,0
7,7,PEN.TUNAI ATM UJ.PANDANG ,1,181000,UJUNG PANDANG,0,                  ,0
8,8,PEN.TUNAI ATM PEKANBARU  ,1,191000,PEKANBARU    ,0,                  ,0
9,9,PEN.TUNAI ATM PADANG     ,1,201000,PADANG       ,0,                  ,0
10,10,PEN.TUNAI ATM PALEMBANG  ,1,181000,PALEMBANG    ,   ,                  ,0
