ID,MID,CHANNELID
,201137379,1
,201159670,1
,204031306,1
,204032619,1
,204054183,1
,204054191,1
,204054209,1
,204054217,1
,204054225,1
,204054233,1
,204054241,1
,204054258,1
,205123052,1
,205123235,1
,205123243,1
,205123250,1
,205123268,1
,205123318,5
,205123326,5
,205123334,5
,205123359,5
,205123375,5
,205123383,5
,205123391,5
,205123466,5
,205123474,5
,205123482,5
,205146764,5
,205146772,5
,205146780,5
,208135962,5
,208136051,5
,209138684,5
,210282760,5
,211096862,5
,211096870,5
,211097993,5
,211098009,5
,211098025,5
,211098033,5
,212291090,5
,212291108,5
,212298632,5
,212298640,5
,214135667,5
,214135717,5
,214135725,5
,214135733,5
,214135741,5
,214135758,5
,215275439,5
,215275595,5
,215275603,5
,215275611,5
,215275637,5
,215275645,5
,215275652,5
,215301482,5
,217109107,5
,217110972,5
,217112028,3
,217112036,3
,217115047,3
,217116581,3
,217116615,3
,217116680,3
,217116698,3
,217116706,3
,217116771,3
,217116789,3
,217116805,3
,217117134,3
,217117159,3
,217117464,3
,217117613,3
,217117639,3
,217118017,3
,217118165,3
,217118264,3
,217118397,3
,217118405,3
,217118413,3
,217118439,3
,217118462,3
,217118512,3
,217118520,3
,217118546,3
,217118561,3
,217118579,3
,217120781,3
,217120856,3
,217120930,3
,217120948,3
,217121003,3
,217121060,3
,217121094,3
,217121367,3
,217121458,3
,217121466,3
,217121482,3
,217121490,2
,217121540,2
,217121557,2
,217121573,2
,217121581,2
,217122407,2
,217146703,2
,211099973,2
