ID,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
1,000000552,BNI TRAVELLING CARD      ,02,010318,JAKARTA      ,   ,                  ,000
2,000000553,DENTAL INSURANCE PLAN    ,01,080618,JAKARTA      ,   ,                  ,000
3,000001209,POS GATE PESONA WTRPK 2  ,02,130318,BANJARMASIN  ,   ,                  ,001
4,000001210,"XTRADANA BUNGA 0,75% 2   ",01,100718,JAKARTA      ,   ,                  ,001
5,000001298,"XTRADANA 0,6% 2          ",02,300718,JAKARTA      ,   ,                  ,000
6,000001299,"RE-XTRADANA 0,6% 2       ",02,300718,JAKARTA      ,   ,                  ,000
7,000001300,"RE-XTRADANA 0,75% 2      ",02,300718,JAKARTA      ,   ,                  ,000
8,000001304,POS FOODCOURT PESONA WT  ,02,130318,BANJARMASIN  ,   ,                  ,001
9,000001504,POS FOODCOURT PESONA WT  ,02,130318,BANJARMASIN  ,   ,                  ,001
10,000100810,TOL AKSES MMS (CIKUPA-MER,02,120318,TANGERANG    ,   ,                  ,010
11,000101706,CILEDUG 1                ,02,140218,JAKARTA      ,   ,                  ,004
12,000101707,CILEDUG 2                ,02,140218,JAKARTA      ,   ,                  ,004
13,000101708,GERBANG TEGAL            ,02,210518,TEGAL        ,   ,                  ,000
14,000101709,GERBANG SEWAKA           ,02,210518,PEMALANG     ,   ,                  ,000
15,000102801,GTO PEMALANG             ,02,180718,JAKARTA      ,   ,                  ,006
16,000102802,GTO PEKALONGAN           ,02,180718,JAKARTA      ,   ,                  ,006
17,000102803,GTO BATANG               ,02,180718,JAKARTA      ,   ,                  ,006
18,000105016,VETERAN                  ,02,050618,MEDAN        ,   ,                  ,004
19,000205107,ATP HARBOR ROAD HK       ,02,120318,JAKARTA      ,   ,                  ,004
20,000301228,KAMAL 1 INTEGRASI        ,02,080218,JAKARTA      ,   ,                  ,007
21,000301229,KAMAL 3 INTEGRASI        ,02,080218,JAKARTA      ,   ,                  ,005
22,000301465,CIKARANG UTARA           ,02,060718,BEKASI       ,   ,                  ,006
23,000301540,VIADUCT RUAS ULUJAMI - PO,02,070618,JAKARTA      ,   ,                  ,002
24,000301610,PALIMANAN 2              ,02,280518,CIREBON      ,   ,                  ,002
25,000302105,BOYOLALI                 ,02,070518,BOYOLALI     ,   ,                  ,004
26,000303405,SRONDOL                  ,02,110518,SEMARANG     ,   ,                  ,006
27,000303406,JATINGALEH 1             ,02,110518,SEMARANG     ,   ,                  ,004
28,000303407,JATINGALEH 2             ,02,110518,SEMARANG     ,   ,                  ,004
29,000600211,DRIYOREJO 3              ,02,010218,SURABAYA     ,   ,                  ,003
30,000600212,DRIYOREJO 4              ,02,010218,SURABAYA     ,   ,                  ,003
31,000702403,PASURUAN                 ,02,140518,PASURUAN     ,   ,                  ,008
32,000702701,GTO MADIUN               ,02,020218,MADIUN       ,   ,                  ,004
33,000702702,GTO CARUBAN              ,02,020218,MADIUN       ,   ,                  ,004
34,000702703,GTO WILANGAN             ,02,020218,WILANGAN     ,   ,                  ,004
35,002990026,LOTTEMART WHOLESALE LMP -,08,010318,LAMPUNG      ,912,                  ,001
36,012940359,EDC TEST LOTTEMART MB    ,02,260618,JAKARTA      ,   ,B1Y3RQ000613076MR2,001
