ID,MID,WILAYAH,CHANNEL
,201030897,WMD,PPP
,201030905,WMD,PPP
,201030913,WMD,PPP
,201030921,WMD,PPP
,201030939,WMD,PPP
,201030947,WMD,PPP
,201030954,WMD,PPP
,201030962,WMD,PPP
,201030970,WMD,PPP
,201030988,WMD,PPP
,201030996,WMD,PPP
,201031002,WMD,PPP
,201031010,WMD,PPP
,201031028,WMD,PPP
,201031036,WMD,PPP
,201031044,WMD,PPP
,201031051,WMD,PPP
,201031069,WMD,PPP
,201031077,WMD,PPP
,201031085,WMD,PDP
,201031093,WMD,PDP
,201031101,WMD,PDP
,201031119,WMD,PDP
,201031127,WMD,PDP
,201031135,WMD,PDP
,201031143,WMD,PDP
,201031150,WMD,PDP
,201031168,WMD,PDP
,201031176,WMD,PDP
,201031184,WMD,PDP
,201031192,WMD,PDP
,201031200,WMD,PDP
,201031218,WMD,PDP
,201031226,WMD,PDP
,201031234,WMD,PDP
,201031242,WMD,PDP
,201031259,WMD,PDP
,201031267,WMD,PDP
,201031275,WMD,PDP
,201031283,WMD,PDP
,201031291,WMD,PDP
,201031309,WMD,PDP
,201031317,WMD,PDP
,201031325,WMD,PDP
,201031333,WMD,PDP
,201031341,WMD,PDP
,201031358,WMD,PDP
,201031366,WMD,PDP
,201031374,WMD,PDP
,201031382,WMD,PDP
,201031390,WMD,PDP
,201031408,WMD,PDP
,201031416,WMD,PDP
,201031424,WMD,PDP
,201031432,WMD,PDP
,201031440,WMD,PDP
,201031457,WMD,PDP
,201031465,WMD,PDP
,201031473,WMD,PDP
,201031481,WMD,PDP
,201031499,WMD,PDP
,201031507,WMD,PDP
,201031515,WMD,PDP
,201031523,WMD,PDP
,201031531,WMD,PDP
,201031549,WMD,PDP
,201031556,WMD,PDP
,201031564,WMD,PDP
,201031572,WMD,PDP
,201031580,WMD,PDP
,201031598,WMD,PDP
,201031606,WMD,PDP
,201031614,WMD,PDP
,201031622,WMD,PDP
,201031630,WMD,PDP
,201031648,WMD,PDP
,201031655,WMD,PDP
,201031663,WMD,PDP
,201031671,WMD,PDP
,201031689,WMD,PDP
,201031697,WMD,PDP
,201031705,WMD,PDP
,201031713,WMD,PDP
,201031721,WMD,PDP
,201031739,WMD,PDP
,201031747,WMD,PDP
,201031754,WMD,PDP
,201031762,WMD,EXH
,201031770,WMD,EXH
,201031788,WMD,EXH
,201031796,WMD,EXH
,201031804,WMD,EXH
,201031812,WMD,EXH
,201031820,WMD,EXH
,201031838,WMD,EXH
,203161138,WPL,EXH
,203161146,WPL,EXH
,203161153,WPL,EXH
,203161161,WPL,EXH
,203161179,WPL,EXH
,203161187,WPL,EXH
,203161195,WPL,EXH
,203161203,WPL,EXH
,203161211,WPL,EXH
,203161229,WPL,EXH
,203161237,WPL,EXH
,203161245,WPL,EXH
,203161252,WPL,EXH
,203161260,WPL,EXH
,203161278,WPL,EXH
,203161286,WPL,EXH
,203161294,WPL,EXH
,203161302,WPL,EXH
,203161310,WPL,EXH
,203161328,WPL,EXH
,203161336,WPL,EXH
,203161344,WPL,EXH
,203161351,WPL,EXH
,203161369,WPL,EXH
,203161377,WPL,EXH
,203161385,WPL,EXH
,203161393,WPL,EXH
,203161401,WPL,EXH
,203161419,WPL,EXH
,203161427,WPL,EXH
,203161435,WPL,EXH
,203161443,WPL,PPP
,203161450,WPL,PPP
,203161468,WPL,PPP
,203161476,WPL,PPP
,203161484,WPL,PPP
,203161492,WPL,PPP
,203161500,WPL,PPP
,203161518,WPL,PPP
,203161526,WPL,PPP
,203161534,WPL,PPP
,203161542,WPL,PPP
,203161559,WPL,PPP
,203161567,WPL,PPP
,203161575,WPL,PPP
,203161583,WPL,PPP
,203161591,WPL,PPP
,203161609,WPL,PPP
,203161617,WPL,PPP
,203161625,WPL,PPP
,203161633,WPL,PPP
,203161641,WPL,PPP
,203161658,WPL,PPP
,203161666,WPL,PPP
,203161674,WPL,PPP
,203161682,WPL,PPP
,203161690,WPL,PPP
,203161708,WPL,PPP
,203161716,WPL,PPP
,203161724,WPL,PPP
,203161732,WPL,PPP
,203161740,WPL,PPP
,203161757,WPL,PPP
,203161765,WPL,PPP
,203161773,WPL,PPP
,203161781,WPL,PPP
,203161799,WPL,PPP
,203161807,WPL,PPP
,203161815,WPL,PPP
,203161823,WPL,PPP
,203161831,WPL,PPP
,203161849,WPL,PPP
,203161856,WPL,PPP
,203161864,WPL,PPP
,203161872,WPL,PPP
,203161880,WPL,PPP
,203161898,WPL,PPP
,203161906,WPL,PPP
,203161914,WPL,PPP
,203161922,WPL,PPP
,203161930,WPL,PPP
,203161948,WPL,PPP
,203161955,WPL,PPP
,203161963,WPL,PPP
,203161971,WPL,PPP
,203161989,WPL,PPP
,203161997,WPL,PPP
,203162003,WPL,PPP
,203162011,WPL,PPP
,203162029,WPL,PPP
,203162037,WPL,PPP
,203162045,WPL,PPP
,203162052,WPL,PPP
,203162060,WPL,PPP
,203162078,WPL,PPP
,203162086,WPL,PPP
,203162094,WPL,PPP
,203162102,WPL,PPP
,203162110,WPL,PPP
,203162128,WPL,PPP
,203162136,WPL,PPP
,203162144,WPL,PPP
,203162151,WPL,PPP
,203162169,WPL,PPP
,203162177,WPL,PPP
,203162185,WPL,PPP
,203162193,WPL,PPP
,203162201,WPL,PPP
,203162219,WPL,PPP
,203162227,WPL,PPP
,203162235,WPL,PPP
,203162243,WPL,PPP
,203162250,WPL,PPP
,203162268,WPL,PPP
,203162276,WPL,PPP
,203162284,WPL,PPP
,203162292,WPL,PPP
,203162300,WPL,PPP
,203162318,WPL,PPP
,203162326,WPL,PPP
,203162334,WPL,PPP
,203162342,WPL,PPP
,203162359,WPL,PPP
,203162367,WPL,PPP
,203162375,WPL,PPP
,203162383,WPL,PPP
,203162391,WPL,PPP
,203162409,WPL,PPP
,203162417,WPL,PPP
,203162425,WPL,PPP
,203162433,WPL,PPP
,203162441,WPL,PPP
,203162458,WPL,PPP
,203162466,WPL,PPP
,203162474,WPL,PPP
,203162482,WPL,PPP
,203162490,WPL,PPP
,203162508,WPL,PPP
,203162516,WPL,PPP
,203162524,WPL,PPP
,203162532,WPL,PPP
,203162540,WPL,PPP
,203162557,WPL,PPP
,203162565,WPL,PPP
,203162573,WPL,PPP
,203162581,WPL,PPP
,203162599,WPL,PPP
,203162607,WPL,PPP
,203162615,WPL,PPP
,203162623,WPL,PPP
,203162631,WPL,PPP
